discoverymethod,n_planets,avg_radius_earth,avg_mass_jupiter,first_detection,last_detection
Transit,4487,4.3651176192331755,123.7693898489875,2002,2026
Radial Velocity,1161,9.79150910617438,1039.8346629218865,1995,2026
Microlensing,265,9.86003773584906,800.5447710326794,2004,2026
Imaging,86,13.446027317073167,4498.628027643734,2004,2026
Transit Timing Variations,39,6.493408364210526,484.3989013444737,2011,2025
Eclipse Timing Variations,17,12.893333333333336,2102.7224388788236,2009,2023
Orbital Brightness Modulation,9,9.64504,350.3239953666667,2011,2021
Pulsar Timing,8,5.411333333333332,278.15552903625,1992,2024
Astrometry,6,12.450000000000001,4673.610125018334,2013,2025
Pulsation Timing Variations,2,12.75,2383.725,2007,2016
Disk Kinematics,1,13.3,794.575,2019,2019
