hostname,n_planets,avg_radius_earth,avg_mass_earth,sy_dist,ra,dec
KOI-351,8,3.9000000000000004,31.148750000000003,848.254,284.4334642,49.3051239
TRAPPIST-1,7,0.9785714285714285,0.921142857142857,12.42988881,346.6263919,-5.0434618
HD 34445,6,8.855,86.68676666666668,46.0907,79.4207483,7.3527156
HD 10180,6,6.676666666666667,1587.7010169516668,38.9607,24.4731133,-60.5114881
HD 191939,6,6.59,176.97430202666666,53.6089,302.0256247,66.8503014
HIP 41378,6,4.253666666666667,7.815,106.289,126.6158279,10.0803708
HD 219134,6,3.668833333333333,25.23973666666667,6.53127,348.3372026,57.1696255
TOI-1136,6,3.051819136666666,6.590000000000001,84.5362,192.1848981,64.8552755
Kepler-11,6,2.966666666666667,7.849999999999999,646.346,297.1150949,41.9091092
K2-138,6,2.5843333333333334,6.041666666666667,202.585,348.9490311,-10.8497391
HD 110067,6,2.431333333333333,6.308333333333334,32.1585,189.8392243,20.0273377
Kepler-20,6,2.292666666666667,9.386666666666665,282.563,287.6979913,42.3385782
TOI-178,6,2.2176666666666667,4.051666666666667,62.699,7.3020115,-30.4541159
Kepler-80,6,1.8133333333333332,747.3908333333333,369.451,296.1125759,39.9787451
55 Cnc,5,8.975,320.74945999999994,12.5855,133.1468373,28.3298154
Kepler-48,5,6.766,196.41219936,306.738,299.1393094,40.948939
Kepler-139,5,5.6770000000000005,87.2,391.038,282.3919451,43.8894167
Kepler-33,5,3.754,4.63,1209.16,289.0775348,46.0051696
Kepler-82,5,3.6980000000000004,237.21360000000004,904.326,292.8733696,42.9661583
HD 134606,5,3.5,14.634,26.7909,228.8103897,-70.5203328
Kepler-238,5,2.9579999999999997,732.7684,1798.75,287.8971066,40.6378141
Kepler-122,5,2.952,20.852,1027.45,291.1118647,39.9490248
Kepler-150,5,2.8980000000000006,9.262,891.092,288.2341025,40.520897
Kepler-154,5,2.41,6.912000000000001,915.212,289.7805393,49.8965624
HD 40307,5,2.3449999999999998,969.039751368,12.9363,88.5172191,-60.0237289
HD 108236,5,2.2649999999999997,5.918,64.5978,186.5740627,-51.3630519
Kepler-84,5,2.154,15.086000000000002,1023.9,298.2520208,40.4960842
HD 158259,5,2.076456,5.089999999999999,27.0498,261.3495847,52.7904721
Kepler-292,5,2.008,4.878,1056.48,295.7661979,42.4242822
Kepler-55,5,1.874,24.424,578.796,285.1683291,44.0264898
K2-268,5,1.848,4.264,327.783,133.7094899,11.8482712
Kepler-32,5,1.8439999999999999,495.02374199999997,323.847,297.8423073,46.5743595
Kepler-296,5,1.8060000000000003,3.95,167.0,286.5400278,49.4372614
