hostname,n_planets,avg_radius_earth,avg_mass_jupiter
KOI-351,8,3.9,31.14875
TRAPPIST-1,7,0.9785714285714285,0.921142857142857
Kepler-11,6,2.9666666666666672,7.849999999999999
HD 34445,6,8.854999999999999,86.68676666666668
HIP 41378,6,4.253666666666667,7.815
Kepler-80,6,1.8133333333333332,747.3908333333333
HD 110067,6,2.4313333333333333,6.308333333333333
Kepler-20,6,2.2926666666666664,9.386666666666667
HD 10180,6,6.676666666666667,1587.7010169516664
HD 219134,6,3.668833333333333,25.23973666666667
TOI-178,6,2.2176666666666667,4.051666666666667
HD 191939,6,6.590000000000001,176.9743020266667
K2-138,6,2.5843333333333334,6.041666666666667
TOI-1136,6,3.051819136666667,6.59
Kepler-55,5,1.874,24.424
Kepler-238,5,2.958,732.7683999999999
Kepler-82,5,3.6980000000000004,237.21359999999999
Kepler-122,5,2.9519999999999995,20.852
55 Cnc,5,8.975,320.74945999999994
Kepler-32,5,1.844,495.02374199999997
HD 158259,5,2.076456,5.09
HD 134606,5,3.5,14.633999999999997
Kepler-139,5,5.6770000000000005,87.2
GJ 667 C,5,1.782,3.896
Kepler-186,5,1.232,1.9479999999999997
K2-384,5,1.4451999999999998,2.7079999999999997
Kepler-444,5,0.5434000000000001,0.14973999999999998
K2-268,5,1.848,4.264
Kepler-33,5,3.754,4.630000000000001
Kepler-62,5,1.3640000000000003,19.6
Kepler-296,5,1.8060000000000003,3.95
Kepler-154,5,2.41,6.911999999999999
Kepler-292,5,2.008,4.878
L 98-59,5,1.3525999999999998,1.9439999999999997
HD 23472,5,1.315,2.7540000000000004
Kepler-150,5,2.898,9.262
HD 108236,5,2.2649999999999997,5.918
Kepler-169,5,1.6740000000000002,3.6379999999999995
HD 40307,5,2.3449999999999998,969.039751368
Kepler-102,5,1.0424,2.96
Kepler-84,5,2.154,15.085999999999999
Kepler-48,5,6.766,196.41219936
Kepler-221,4,2.5,6.6832025
TOI-1246,4,3.1016708375,9.275
HD 20781,4,2.615,7.975
Kepler-324,4,1.8646561099999999,664.461
Kepler-223,4,4.0675,6.324999999999999
K2-266,4,2.4162500000000002,8.6894886225
HD 141399,4,13.925,287.71560750000003
HR 8799,4,13.0286325,2794.575
Kepler-235,4,1.945,4.55
K2-187,4,1.7249999999999999,3.7575000000000003
K2-32,4,3.2822500000000003,7.975
Kepler-164,4,2.7074999999999996,8.435
Kepler-197,4,1.095,2.25325
Kepler-208,4,1.425,2.615
Kepler-305,4,2.8634538249999997,6.6425
K2-285,4,2.6374999999999997,10.64
rho CrB,4,6.547499999999999,100.2441122125
Kepler-167,4,3.6975,82.5266727675
HD 164922,4,5.505000000000001,35.8800300675
Kepler-106,4,1.7075,8.7525
GJ 3293,4,3.5900000000000003,13.8775
K2-72,4,1.135,1.5374999999999999
Kepler-100,4,2.6050000000000004,9.5506795675
Kepler-85,4,1.5564999999999998,3.3216975
Kepler-176,4,1.9974999999999998,73.52693749999999
TOI-561,4,2.3485,8.42
Kepler-342,4,1.895,4.39125
Kepler-132,4,1.305,2.2199999999999998
Kepler-37,4,0.8662,3.0475000000000003
Kepler-49,4,2.04575,63.7925375
TOI-500,4,3.399,13.655
AU Mic,4,3.0921977125,12.968250000000001
Kepler-138,4,1.11425,1.225
HD 3167,4,2.355,7.209999999999999
Kepler-107,4,1.724,8.9
Kepler-402,4,1.4049999999999998,2.5599999999999996
Kepler-79,4,4.46,6.725
TOI-700,4,1.385,2.5105
DMPP-1,4,2.965,10.3375
Kepler-51,4,6.995,4.775
Kepler-215,4,1.8825000000000003,8.5875
Kepler-1987,4,1.7850000000000001,4.07
Kepler-26,4,2.245,4.7375
Kepler-289,4,4.9225,45.9025
Kepler-304,4,2.2449999999999997,5.9425
Kepler-282,4,1.9425000000000001,30.020000000000003
GJ 876,4,8.432500000000001,242.909525
Kepler-758,4,1.955,4.577500000000001
TOI-1203,4,3.487,14.615
Barnard's star,4,0.6985,0.27249999999999996
HD 215152,4,,695.0112690075
V1298 Tau,4,8.061498205,174.80562385000002
Kepler-58,4,2.5475,232.90975
K2-133,4,1.669,3.4675000000000002
Kepler-299,4,1.9250000000000003,4.5225
WASP-47,4,6.113333333333332,211.375
TOI-5789,4,2.365,5.755
Kepler-341,4,1.68,3.4975
Kepler-1542,4,0.76,0.381
Kepler-65,4,4.855,67.98499999999999
Kepler-279,4,3.7874999999999996,1080.9575
Kepler-245,4,2.3825,500.35999999999996
Kepler-338,4,2.335,13.6125
GJ 676 A,4,7.3375,1534.8728345025002
Kepler-1388,4,2.5425,7.03
TOI-2076,4,2.7175733450000004,25.625
Kepler-172,4,2.5549999999999997,7.102500000000001
Kepler-411,4,3.35525,19.5
Kepler-224,4,2.195,5.715
tau Cet,4,1.4975,2.86
Kepler-220,4,1.1725,1.69525
Kepler-256,4,2.1425,5.3125
KOI-94,4,5.965,41.775
Kepler-251,4,2.4099999999999997,6.657500000000001
Kepler-68,4,7.109,90.69483167499999
HD 20794,4,1.9500000000000002,4.5225
Kepler-24,4,2.3279999999999994,85.3252
TOI-4010,4,7.1075,190.36499999999998
Kepler-306,4,2.1525,5.3675
HD 160691,4,3.23,1250.098997475
Kepler-286,4,1.4275,2.6575
Kepler-265,4,2.3925,6.3774999999999995
Kepler-257,3,4.323333333333333,18.073333333333334
Kepler-276,3,2.856666666666667,254.70299999999997
Kepler-288,3,2.3966666666666665,6.513333333333333
TOI-1749,3,2.01,28.666666666666668
Wolf 1061,3,1.8533333333333335,4.34
Kepler-157,3,1.6733333333333336,3.56
TOI-469,3,2.1663333333333337,6.246666666666667
Kepler-1254,3,1.3866666666666667,2.5100000000000002
K2-136,3,1.8596666666666666,8.466666666666667
HIP 57274,3,14.2,1218.9487539966667
Kepler-298,3,2.13,5.226666666666667
